,score
user_id_impression_id_article_impression_day_hour_article_inview_num_mean_rank_reverse,0.012556337451269384
impr_article_impr_hour_article_cnt_rank,0.010375668156943463
ctr,0.0075184804320374
document_vector4,0.003090175023455488
impr_article_impr_hour_article_cnt_rank_reverse_right,0.0024578139542500432
user_article_impr_time_diff,0.002360378851395284
day_hour_article_scroll_percentage_mean,0.002191246264753921
contrastive_vector3,0.00203928532817782
impression_day_hour_article_inview_num_std,0.0019969728484462435
publish_48hour_article_inview_num_std,0.001919639152645869
impression_day_hour_device_type_article_inview_num_std,0.001806211719554196
impr_article_impr_pub_hour_imprs_rank,0.0017165782206465252
impr_hour_article_cnt,0.001533268382344577
category,0.0014999496924569256
article_pv_median,0.0014390312349255585
num_publish_hour_42,0.0013390077558097513
user_id_impression_id_impression_day_hour_article_inview_num_mean_mean_diff,0.0013160619675214313
session_article_impr_time_diff,0.0011818734835868372
mod_read_time,0.001126351288950611
impression_day_hour_publish_48hour_article_inview_num_mean,0.0009473514021043905
device_type,0.0008219825037636408
total_avg_time_mean_impr_diff,0.0007958356339884953
article_hour_cnt_with_ctr,0.0007678255347378093
session_article_impr_time_rank,0.0006094378784375354
read_time_fixed_std,0.0005946939005620488
user_id_impression_id_article_publish_48hour_article_inview_num_mean_rank_reverse,0.0005854236368854071
scroll_percentage,0.0005835413569807435
subcate_str,0.0005766430089523822
impression_ctr_mean_impr_diff,0.0005607202379088183
session_article_impr_time_rank_reverse,0.0005552108340413642
num_publish_hour_22,0.0005242245478566665
read_time,0.0005203020804004366
num_publish_hour_36,0.000492836896480775
num_publish_hour_25,0.00043478970178539855
impression_day_article_inview_num_mean,0.0004133557646410213
impression_day_article_inview_num_std,0.000404363561777088
day_hour_article_read_time_mean,0.0003983921902086518
user_id_impression_id_impression_day_hour_article_inview_num_mean_mean,0.00038923240388250013
user_id_impression_id_w2v_each_cosine_mean_diff,0.00038030132156058327
impr_article_bpr_rank,0.0003798375944186194
subcate_emb_sim_his_mean_item_euclidean_list,0.00037035005311897295
distance_publish_seconds_mean_impr,0.0003701846341077619
num_publish_hour_23,0.00036970781071254954
num_publish_hour_45,0.0003616962041527727
impression_day_hour_article_inview_num_skew,0.0003554330859656396
article_impr_hour_inview_mean,0.00034004010328836376
total_read_time,0.00033866821349026743
user_article_impr_time_rank,0.00030045014168655904
first_sub_category,0.0002705997644874558
num_publish_hour_17,0.0002704025018444023
num_publish_hour_47,0.0002673828058011307
publish_48hour_article_inview_num_skew,0.00026392686483522887
publish_48hour_device_type_article_inview_num_std,0.0002577417901370449
impr_hour_article_cnt_mean_impr_diff,0.0002317489346907453
num_publish_hour_43,0.00023075343567258155
num_publish_hour_21,0.00022917301947555924
impr_article_impr_pub_interval_rank,0.0002259418777311173
bpr,0.00021814448562296196
session_ctr_mean_diff,0.0002167256194345879
article_user_freq,0.00021032354083383442
user_inreviws_mean_std,0.00020981309098039302
sentiment_score,0.0002032178323121414
document_vector9,0.00019734575219870765
user_inview_item_all_mean_sim_list,0.00018253888771907478
impression_day_hour_device_type_article_inview_num_max,0.0001736667434729111
user_distance_publish_hours_skew,0.00017218370410904127
impression_distance_publish_seconds_mean_impr_diff,0.00016673445924270114
document_vector3,0.00016434718215951882
num_publish_hour_46,0.00014049550809763778
body_inview_item_all_mean_sim_list,0.0001402773581360428
distance_published_hour_cos,0.0001373317816207864
impr_category_ratio,0.00013693100165929062
impression_day_hour_device_type_article_inview_num_median,0.00013436108103220823
impression_day_hour_article_inview_num_median,0.00013302524317237996
impression_day_hour_device_type_article_inview_num_skew,0.00013155072147230662
article_pv_std,0.00012733017902710753
impression_day_hour_publish_48hour_article_inview_num_std,0.00012725954145387242
publish_48hour_article_scroll_percentage_mean,0.00011992507135133446
document_vector8,0.00011728597347920866
user_ctr_mean,0.0001165581273099292
day_hour_article_scroll_percentage_std,0.00011160137555854543
num_publish_hour_26,0.00010560328574216182
impression_impr_hour_article_cnt_mean_impr_diff,9.574396661499174e-05
num_publish_hour_29,9.498792000001144e-05
total_inviews_mean_impr,9.208420069561907e-05
images_each_euclidean,8.886550610326394e-05
history_time_diff_mean,8.880684513418169e-05
subcate_emb_sim_his_mean_item_sim_list,8.865833435994785e-05
next_read_time_sort,8.750818957797835e-05
hist_category_length,8.470609634358972e-05
cate_emb_sim_his_mean_item_sim_list,8.308717752819605e-05
session_id_articles_len_last,8.266601698664333e-05
user_article_impr_time_rank_reverse,7.943873027965731e-05
body_spelling_errors,7.872961659594058e-05
publish_48hour_article_read_time_mean,7.870172447888013e-05
user_id_impression_id_article_impression_day_hour_article_inview_num_mean_rank,7.86650236910269e-05
imp_day,7.592754588775508e-05
read_time_last_fix,7.284710420124574e-05
impression_day_hour_article_inview_num_mean,7.265575820247783e-05
is_subscriber,7.19237024632835e-05
is_sso_user,6.973819199634912e-05
user_ctr_std,6.846747476940696e-05
article_read_time_mean,6.704562273568415e-05
title_inview_item_all_mean_sim_list,6.614855252701224e-05
his_cate_cnt,6.200122157373755e-05
